datetime.datetime.now(),getAccelX(),getAccelY(),getAccelZ(),getGyroX(),getGyroY(),getGyroZ(),get_x_rotation(),get_y_rotation(),throttle,steering,movement
2019-02-13 15:43:50.379771,-3532,692,15984,-200,-395,721,3.1316122157798767,8.843188951453161,255,x,f
2019-02-13 15:43:50.648986,-4812,1096,19612,-394,419,192,-19.35409996607631,5.405281304879894,255,x,f
2019-02-13 15:43:50.918161,540,5032,14572,892,721,2173,1.6775896795138294,5.167637096972194,255,x,f
2019-02-13 15:43:51.187321,15940,4848,23564,2495,-2494,-758,11.028038659836106,-13.739307420278376,255,x,b
2019-02-13 15:43:51.456529,5856,1468,12040,439,-31,-15,-7.244986787680508,-9.390967726003838,255,x,b
2019-02-13 15:43:51.725716,2380,8564,19312,56,-342,-1357,-8.26021809581354,0.16110729713708702,255,x,b
2019-02-13 15:43:51.995252,-2128,4336,15396,-514,2086,-2149,-0.9009614010572526,0.04685079470745584,255,x,x
2019-02-13 15:43:52.265913,716,700,9016,-1353,-576,-363,-11.730768134955776,-0.19772447204409768,255,x,x
2019-02-13 15:43:52.535251,-1784,-832,11096,-7,216,-577,6.381624679201726,1.0281295406533548,255,x,x
2019-02-13 15:43:52.804458,1228,5588,14724,-64,439,-297,-9.647395906545857,-15.891092035055049,255,x,x
2019-02-13 15:43:53.073615,-1136,416,17364,-459,73,-424,-0.585404282232191,1.2603488751596017,255,x,x
2019-02-13 15:43:53.342806,188,616,16892,-400,-9,8,2.5079432415211556,-1.643115555666735,255,x,x
2019-02-13 15:43:53.612001,132,652,16816,-327,73,19,2.345562362867989,-1.5284335501438095,255,x,x
2019-02-13 15:43:53.881094,292,668,16656,-318,105,33,2.30114495089742,-1.2095805434973326,255,x,x
2019-02-13 15:43:54.150271,236,636,16664,-289,66,44,2.282430601441293,-1.2891312488199507,255,x,x
2019-02-13 15:43:54.419511,288,5288,25692,253,1059,-204,-1.1830145258432,33.00222604706048,255,x,f
2019-02-13 15:43:54.691175,-1304,640,14960,-712,-553,259,-9.79001286600448,28.0879138025652,255,x,f
2019-02-13 15:43:54.953015,8964,-1344,22504,594,1641,1248,9.450255944953515,-8.449759360444432,255,x,x
2019-02-13 15:43:55.214986,2524,544,19296,-942,-255,388,6.110171374122104,-5.761480713151323,255,x,x
2019-02-13 15:43:55.476870,1152,16,14180,-627,294,482,3.326770644637546,-2.988937167635348,255,x,x
2019-02-13 15:43:55.746077,1468,292,18948,-197,94,139,3.6126715128379554,-6.232377095016312,255,x,x
2019-02-13 15:43:56.015267,1136,532,17128,-304,117,140,1.7543220388658356,-3.659263578993204,255,x,x
2019-02-13 15:43:56.284512,4,568,16828,-333,92,3,1.7754696937515628,-0.4392222827420444,255,x,x
2019-02-13 15:43:56.553858,-27824,-6228,27324,1006,4688,-513,-3.011430287895197,63.76177240249489,255,x,f
2019-02-13 15:43:56.823274,-3508,-2756,12596,211,388,737,-18.14265116824864,3.863932364908992,255,x,f
2019-02-13 15:43:57.085057,-2892,1568,10904,-592,1009,1353,-3.4366775130950065,-1.9217274810389735,255,x,b
2019-02-13 15:43:57.347098,5736,3416,9524,576,2108,-580,4.062826305875493,-21.098192683530122,255,x,b
2019-02-13 15:43:57.616389,2480,2964,22768,49,-175,-869,-17.600335604487142,-8.434065379987358,255,x,b
2019-02-13 15:43:57.885568,4936,1372,16912,414,-1189,-434,1.158443911582302,-21.509167615154876,255,r,b
2019-02-13 15:43:58.155116,2732,-716,19976,1225,-590,9570,1.8194222228103503,-21.526788250298427,255,r,b
2019-02-13 15:43:58.424408,-4448,3500,13732,587,1827,8392,1.0068312895224472,13.003192313774742,255,x,x
2019-02-13 15:43:58.693750,-1868,6968,14908,-908,-931,3912,-8.889642753180715,4.655034982790109,255,x,x
