datetime.now(),getAccelX(),getAccelY(),getAccelZ(),getAccelXScaled(),getAccelYScaled(),getAccelZScaled(),getGyroX(),getGyroY(),getGyroZ(),getGyroXScaled(),getGyroYScaled(),getGyroZScaled(),getXRotation(),getYRotation(),getForwardProximity(),steering_angle,throttle
2019-03-13 19:31:32.802974,96,780,16580,0.00390625,0.05908203125,1.02197265625,-303,85,34,-2.122137404580153,0.6946564885496184,0.3053435114503817,2.796324363280111,-0.2329176725503668,44.65,17,289
2019-03-13 19:31:32.934955,8,840,16548,0.010498046875,0.062255859375,1.0,-299,92,37,-2.0610687022900764,0.6870229007633588,0.3435114503816794,2.491345364340546,-0.1912796007266061,45.1,18,324
2019-03-13 19:31:33.066957,96,536,16696,0.00390625,0.047607421875,1.027099609375,-292,102,56,-2.267175572519084,0.7938931297709924,0.3053435114503817,1.8439997714836662,-0.19347236882616128,45.06,19,361
2019-03-13 19:31:33.198979,80,776,16564,0.00390625,0.06201171875,1.0,-510,86,51,-2.3969465648854964,0.5572519083969466,0.24427480916030533,2.749033008078642,-0.09702136857320515,45.03,20,400
2019-03-13 19:31:33.331022,28,848,16788,0.009521484375,0.046142578125,1.020263671875,-302,107,40,-2.2900763358778624,0.6259541984732825,0.29770992366412213,3.0546748588263015,-0.8486156284869119,44.25,21,441
2019-03-13 19:31:33.463207,124,848,16740,0.00927734375,0.04638671875,1.0009765625,-276,83,42,-2.16793893129771,0.648854961832061,0.1984732824427481,1.8413336523495565,-0.05564207966083751,45.11,22,484
2019-03-13 19:31:33.595396,56,876,16416,0.00830078125,0.04638671875,1.012451171875,-269,92,14,-2.16793893129771,0.6641221374045801,0.1984732824427481,2.691050758469612,-0.22159347027859813,43.35,23,529
2019-03-13 19:31:33.727566,68,804,16836,0.0087890625,0.045166015625,1.01806640625,-281,78,39,-2.450381679389313,0.732824427480916,0.3816793893129771,2.909882870725593,-0.32815357959583574,44.16,24,576
2019-03-13 19:31:33.859593,68,848,16572,0.01123046875,0.049560546875,1.01123046875,-297,89,32,-2.6717557251908395,0.5877862595419847,0.2366412213740458,2.518975719822301,-0.5088217143225481,45.1,25,625
2019-03-13 19:31:33.991691,140,604,16528,-0.014892578125,0.048095703125,1.018310546875,-294,99,15,-2.450381679389313,0.7175572519083969,0.13740458015267176,2.853410098493348,-0.013740661371225357,44.24,26,676
2019-03-13 19:31:34.123575,84,732,16892,0.00537109375,0.05029296875,1.0146484375,-308,87,36,-2.030534351145038,0.7022900763358778,0.20610687022900764,2.7916911858894706,-0.027681190561865465,44.18,27,729
2019-03-13 19:31:34.255573,44,824,16528,0.008544921875,0.046875,1.01318359375,-321,63,14,-1.900763358778626,0.7404580152671756,0.3969465648854962,2.679157365023105,-0.2754612690017106,44.67,28,784
2019-03-13 19:31:34.387596,96,952,16704,0.006103515625,0.049560546875,1.002685546875,-293,87,18,-2.0076335877862594,0.5419847328244275,0.2748091603053435,2.7895659896053333,-0.1115642404995722,44.25,29,841
2019-03-13 19:31:34.519520,80,772,16724,0.00634765625,0.046875,1.0166015625,-290,75,8,-2.435114503816794,0.5725190839694656,0.2900763358778626,2.929358296919903,-0.13580763563176146,44.21,30,900
2019-03-13 19:31:34.651478,80,880,16488,0.002685546875,0.04931640625,1.027587890625,-267,99,33,-2.351145038167939,0.8549618320610687,0.21374045801526717,2.8402407424215443,-0.15143356498026986,44.65,31,961
2019-03-13 19:31:34.783438,120,756,16524,-0.0029296875,0.05029296875,1.0107421875,-273,86,30,-2.5572519083969465,0.732824427480916,1.9083969465648856,2.692608287619542,-0.20565559914858522,44.68,32,1024
2019-03-13 19:31:34.915436,92,816,16504,0.005859375,0.049560546875,1.020751953125,-344,83,39,-2.3206106870229006,0.6106870229007634,0.3053435114503817,2.533397415544915,-0.1804540351288019,44.66,33,1089
2019-03-13 19:31:35.047361,104,732,16848,0.004638671875,0.046875,1.007568359375,-277,81,42,-2.0076335877862594,0.7404580152671756,0.1984732824427481,2.7033577161347835,-0.19382628564084986,45.06,34,1156
2019-03-13 19:31:35.182468,80,776,16692,0.010009765625,0.05078125,1.0126953125,-305,104,7,-2.4656488549618323,0.6564885496183206,0.32061068702290074,1.8596579711472077,-0.5355885393508032,44.17,35,1225
2019-03-13 19:31:35.314631,184,820,16856,0.004150390625,0.05712890625,1.0126953125,-326,88,24,-2.1297709923664123,0.6641221374045801,0.183206106870229,2.691747810939215,-0.3313580041351392,44.71,36,1296
2019-03-13 19:31:35.446571,16,780,16888,0.00537109375,0.034423828125,1.017822265625,-294,88,41,-2.1755725190839694,0.7251908396946565,0.12213740458015267,2.701736686512267,-0.12260560408391999,44.65,37,1369
2019-03-13 19:31:35.578585,0,884,16652,0.000732421875,0.031494140625,1.024658203125,-317,97,27,-2.4427480916030535,0.6259541984732825,0.37404580152671757,2.885931291403116,-0.530728171070933,44.71,38,1444
2019-03-13 19:31:35.710496,152,812,16616,0.005126953125,0.052490234375,1.012939453125,-301,94,42,-2.1374045801526718,0.7251908396946565,0.022900763358778626,3.288602656955774,-0.33527512527168657,43.82,39,1521
2019-03-13 19:31:35.842889,84,764,16692,0.010498046875,0.050537109375,1.01904296875,-313,92,38,-1.702290076335878,0.7786259541984732,0.2366412213740458,2.707889066172935,-0.16471218749013497,44.24,40,1600
2019-03-13 19:31:35.974878,56,840,16392,0.006103515625,0.0546875,1.00390625,-260,101,51,-3.9083969465648853,0.6412213740458015,0.15267175572519084,1.9835805042870485,0.5655611667930258,44.19,41,1681
2019-03-13 19:31:36.106838,4,780,16792,0.003173828125,0.05078125,1.001953125,-509,87,14,-0.32061068702290074,0.6793893129770993,0.24427480916030533,2.7417671554162415,-0.6389113665978042,44.28,42,1764
2019-03-13 19:31:36.238749,44,844,16512,0.010986328125,0.049072265625,1.00830078125,-277,96,32,-2.351145038167939,0.5877862595419847,0.3893129770992366,2.5926848586978544,-0.3182752588964858,44.18,43,1849
2019-03-13 19:31:36.370735,84,516,16668,0.002685546875,0.052001953125,1.01220703125,-285,75,31,-3.7938931297709924,0.6259541984732825,0.31297709923664124,2.656039931667732,-0.6105675824333266,44.69,44,1936
2019-03-13 19:31:36.502668,88,580,16496,0.015380859375,0.050048828125,1.009521484375,-371,94,41,-2.450381679389313,0.7175572519083969,0.3053435114503817,2.5844490396444177,-0.12400698758512779,44.23,45,2025
2019-03-13 19:31:36.634780,-4,828,16716,0.005615234375,0.03564453125,1.002197265625,-292,96,40,-2.2900763358778624,0.7022900763358778,0.3282442748091603,3.3063705795850242,-0.728250634532163,44.63,46,2116
2019-03-13 19:31:36.767155,140,544,16548,0.002685546875,0.052490234375,1.010986328125,-284,101,33,-2.435114503816794,0.7709923664122137,0.26717557251908397,2.646718826557558,-0.055144973508557765,44.27,47,2209
2019-03-13 19:31:36.899307,124,888,16684,0.0029296875,0.04931640625,1.01171875,-299,106,46,-2.404580152671756,0.6030534351145038,0.15267175572519084,3.3550773479502554,-0.727467730228266,45.13,48,2304
2019-03-13 19:31:37.031505,24,784,16784,0.003173828125,0.033935546875,1.010498046875,-288,84,29,-2.114503816793893,0.8549618320610687,0.19083969465648856,3.046887440448234,-0.38542098821665344,45.17,49,2401
2019-03-13 19:31:37.163602,88,832,16600,-0.01220703125,0.041748046875,1.0146484375,-313,89,39,-2.427480916030534,0.7633587786259542,0.33587786259541985,3.479741504964462,-0.390006102524622,44.62,50,2500
2019-03-13 19:31:37.295645,128,524,16704,0.00927734375,0.031982421875,1.015380859375,-300,102,27,-2.045801526717557,0.6870229007633588,0.183206106870229,2.807504715274381,-0.2633476984042125,44.23,51,2601
2019-03-13 19:31:37.427756,252,572,16564,0.001220703125,0.04443359375,1.01611328125,-268,84,46,-2.8091603053435112,0.7175572519083969,0.20610687022900764,3.5458198129245697,-0.3808362437110794,44.16,52,2704
